Isolates,Prediction,Observation,Antibiotic
11657_5#81,S,S,CTZ
11657_5#82,S,S,CTZ
11657_5#83,S,S,CTZ
11657_5#84,S,S,CTZ
11657_5#85,S,S,CTZ
11657_5#86,S,S,CTZ
11657_5#87,S,S,CTZ
11657_5#88,S,S,CTZ
11657_5#89,R,R,CTZ
11657_5#8,S,S,CTZ
11657_5#90,S,S,CTZ
11657_5#91,S,S,CTZ
11657_5#92,S,S,CTZ
11657_5#93,S,S,CTZ
11657_5#94,S,S,CTZ
11657_5#95,S,S,CTZ
11657_5#96,S,S,CTZ
11657_5#9,S,S,CTZ
11657_6#10,S,S,CTZ
11657_6#11,S,S,CTZ
11657_6#12,S,S,CTZ
11657_6#13,S,S,CTZ
11657_6#14,S,S,CTZ
11657_6#15,S,S,CTZ
11657_6#16,S,S,CTZ
11657_6#17,S,S,CTZ
11657_6#18,S,S,CTZ
11657_6#19,S,S,CTZ
11657_6#1,S,S,CTZ
11657_6#20,R,R,CTZ
11657_6#21,S,S,CTZ
11657_6#22,S,S,CTZ
11657_6#23,S,S,CTZ
11657_6#24,S,S,CTZ
11657_6#26,S,S,CTZ
11657_6#27,S,S,CTZ
11657_6#28,S,S,CTZ
11657_6#29,S,S,CTZ
11657_6#2,S,S,CTZ
11657_6#30,S,S,CTZ
11657_6#31,S,S,CTZ
11657_6#32,S,S,CTZ
11657_6#33,S,S,CTZ
11657_6#34,S,S,CTZ
11657_6#35,S,S,CTZ
11657_6#36,S,S,CTZ
11657_6#37,S,S,CTZ
11657_6#38,S,S,CTZ
11657_6#39,S,S,CTZ
11657_6#3,S,S,CTZ
11657_6#40,S,S,CTZ
11657_6#41,S,S,CTZ
11657_6#42,S,S,CTZ
11657_6#43,S,S,CTZ
11657_6#44,S,S,CTZ
11657_6#45,S,S,CTZ
11657_6#46,S,S,CTZ
11657_6#47,S,S,CTZ
11657_6#48,S,S,CTZ
11657_6#49,S,S,CTZ
11657_6#4,S,S,CTZ
11657_6#50,S,S,CTZ
11657_6#51,R,R,CTZ
11657_6#52,S,S,CTZ
11657_6#53,S,S,CTZ
11657_6#54,S,S,CTZ
11657_6#55,S,S,CTZ
11657_6#56,S,S,CTZ
11657_6#57,S,S,CTZ
11657_6#58,S,S,CTZ
11657_6#59,S,S,CTZ
11657_6#5,S,S,CTZ
11657_6#60,S,S,CTZ
11657_6#61,S,S,CTZ
11657_6#62,S,S,CTZ
11657_6#63,R,R,CTZ
11657_6#64,R,R,CTZ
11657_6#65,S,S,CTZ
11657_6#66,S,S,CTZ
11657_6#67,R,R,CTZ
11657_6#68,S,S,CTZ
11657_6#69,S,S,CTZ
11657_6#6,S,S,CTZ
11657_6#70,S,S,CTZ
11657_6#71,S,S,CTZ
11657_6#72,S,S,CTZ
11657_6#73,S,S,CTZ
11657_6#74,S,S,CTZ
11657_6#75,S,S,CTZ
11657_6#76,S,S,CTZ
11657_6#77,S,S,CTZ
11657_6#78,S,S,CTZ
11657_6#79,S,S,CTZ
11657_6#7,S,S,CTZ
11657_6#80,S,S,CTZ
11657_6#81,S,S,CTZ
11657_6#82,S,S,CTZ
11657_6#83,S,S,CTZ
11657_6#84,S,S,CTZ
11657_6#85,S,S,CTZ
11657_6#86,S,S,CTZ
11657_6#87,S,S,CTZ
11657_6#88,S,S,CTZ
11657_6#89,S,S,CTZ
11657_6#8,S,S,CTZ
11657_6#90,S,S,CTZ
11657_6#91,R,R,CTZ
11657_6#92,S,S,CTZ
11657_6#93,S,S,CTZ
11657_6#94,R,R,CTZ
11657_6#95,S,S,CTZ
11657_6#96,S,S,CTZ
11657_6#9,S,S,CTZ
11657_7#10,S,S,CTZ
11657_7#11,S,S,CTZ
11657_7#12,R,R,CTZ
11657_7#13,S,S,CTZ
11657_7#14,S,S,CTZ
11657_7#15,S,S,CTZ
11657_7#16,S,S,CTZ
11657_7#17,S,S,CTZ
11657_7#18,S,S,CTZ
11657_7#19,S,S,CTZ
11657_7#1,S,S,CTZ
11657_7#20,S,S,CTZ
11657_7#21,S,S,CTZ
11657_7#22,R,R,CTZ
11657_7#23,R,R,CTZ
11657_7#24,S,S,CTZ
11657_7#25,S,S,CTZ
11657_7#26,S,S,CTZ
11657_7#27,S,S,CTZ
11657_7#28,S,S,CTZ
11657_7#29,S,S,CTZ
11657_7#2,S,S,CTZ
11657_7#30,S,S,CTZ
11657_7#31,S,S,CTZ
11657_7#32,S,S,CTZ
11657_7#33,S,S,CTZ
11657_7#34,S,S,CTZ
11657_7#35,S,S,CTZ
11657_7#36,S,S,CTZ
11657_7#37,S,S,CTZ
11657_7#38,S,S,CTZ
11657_7#39,S,S,CTZ
11657_7#3,S,S,CTZ
11657_7#40,S,S,CTZ
11657_7#41,S,S,CTZ
11657_7#42,S,S,CTZ
11657_7#43,S,S,CTZ
11657_7#44,S,S,CTZ
11657_7#45,S,S,CTZ
11657_7#46,S,S,CTZ
11657_7#47,S,S,CTZ
11657_7#48,S,S,CTZ
11657_7#49,S,S,CTZ
11657_7#4,S,S,CTZ
11657_7#50,S,S,CTZ
11657_7#51,S,S,CTZ
11657_7#52,S,S,CTZ
11657_7#53,S,S,CTZ
11657_7#54,R,R,CTZ
11657_7#55,S,S,CTZ
11657_7#56,R,S,CTZ
11657_7#57,S,S,CTZ
11657_7#58,R,R,CTZ
11657_7#59,S,S,CTZ
11657_7#5,S,S,CTZ
11657_7#60,S,S,CTZ
11657_7#61,S,S,CTZ
11657_7#62,S,S,CTZ
11657_7#63,S,S,CTZ
11657_7#64,S,S,CTZ
11657_7#65,S,S,CTZ
11657_7#66,R,R,CTZ
11657_7#67,S,S,CTZ
11657_7#68,S,S,CTZ
11657_7#69,S,S,CTZ
11657_7#6,S,S,CTZ
11657_7#70,S,S,CTZ
11657_7#71,S,S,CTZ
11657_7#72,S,S,CTZ
11657_7#73,S,S,CTZ
11657_7#74,S,S,CTZ
11657_7#75,S,S,CTZ
11657_7#76,S,S,CTZ
11657_7#77,S,S,CTZ
11657_7#78,S,S,CTZ
11657_7#79,S,S,CTZ
11657_7#7,S,S,CTZ
11657_7#80,S,S,CTZ
11657_7#81,S,S,CTZ
11657_7#82,S,S,CTZ
11657_7#83,S,S,CTZ
11657_7#84,S,S,CTZ
11657_7#85,S,S,CTZ
11657_7#86,S,S,CTZ
11657_7#87,S,S,CTZ
11657_7#88,S,S,CTZ
11657_7#89,R,R,CTZ
11657_7#8,S,S,CTZ
11657_7#90,S,S,CTZ
11657_7#91,S,S,CTZ
11657_7#92,S,S,CTZ
11657_7#93,S,S,CTZ
11657_7#94,S,S,CTZ
11657_7#95,S,S,CTZ
11657_7#96,S,S,CTZ
11657_7#9,S,S,CTZ
11658_3#10,S,S,CTZ
11658_3#11,S,S,CTZ
11658_3#12,S,S,CTZ
11658_3#13,S,S,CTZ
11658_3#14,S,S,CTZ
11658_3#19,S,S,CTZ
11658_3#1,S,S,CTZ
11658_3#20,S,S,CTZ
11658_3#21,S,S,CTZ
11658_3#22,S,S,CTZ
11658_3#23,S,S,CTZ
11658_3#24,S,S,CTZ
11658_3#25,S,S,CTZ
11658_3#26,S,S,CTZ
11658_3#27,S,S,CTZ
11658_3#28,S,S,CTZ
11658_3#29,S,S,CTZ
11658_3#2,S,S,CTZ
11658_3#30,S,S,CTZ
11658_3#31,S,S,CTZ
11658_3#32,S,S,CTZ
11658_3#33,S,S,CTZ
11658_3#34,S,S,CTZ
11658_3#35,S,S,CTZ
11658_3#36,S,S,CTZ
11658_3#37,S,S,CTZ
11658_3#38,R,R,CTZ
11658_3#39,R,R,CTZ
11658_3#3,S,S,CTZ
11658_3#40,S,S,CTZ
11658_3#41,S,S,CTZ
11658_3#42,S,S,CTZ
11658_3#43,S,S,CTZ
11658_3#44,S,S,CTZ
11658_3#45,S,S,CTZ
11658_3#46,S,S,CTZ
11658_3#47,S,S,CTZ
11658_3#48,S,S,CTZ
11658_3#49,S,S,CTZ
11658_3#4,S,S,CTZ
11658_3#50,S,S,CTZ
11658_3#51,S,S,CTZ
11658_3#52,S,S,CTZ
11658_3#53,S,S,CTZ
11658_3#54,S,S,CTZ
11658_3#55,R,R,CTZ
11658_3#56,R,R,CTZ
11658_3#57,S,S,CTZ
11658_3#58,S,R,CTZ
11658_3#59,S,S,CTZ
11658_3#5,S,S,CTZ
11658_3#60,S,S,CTZ
11658_3#61,S,S,CTZ
11658_3#62,S,S,CTZ
11658_3#64,S,S,CTZ
11658_3#65,S,S,CTZ
11658_3#66,S,S,CTZ
11658_3#67,S,S,CTZ
11658_3#68,S,S,CTZ
11658_3#69,S,S,CTZ
11658_3#6,S,S,CTZ
11658_3#70,S,S,CTZ
11658_3#71,S,S,CTZ
11658_3#72,S,S,CTZ
11658_3#73,S,S,CTZ
11658_3#74,S,S,CTZ
11658_3#75,S,S,CTZ
11658_3#76,S,S,CTZ
11658_3#77,S,S,CTZ
11658_3#78,S,S,CTZ
11658_3#79,S,S,CTZ
11658_3#7,S,S,CTZ
11658_3#80,S,S,CTZ
11658_3#81,S,S,CTZ
11658_3#82,S,S,CTZ
11658_3#83,S,S,CTZ
11658_3#84,S,S,CTZ
11658_3#85,S,S,CTZ
11658_3#86,S,S,CTZ
11658_3#87,S,S,CTZ
11658_3#88,S,S,CTZ
11658_3#89,R,R,CTZ
11658_3#8,S,S,CTZ
11658_3#90,S,S,CTZ
11658_3#91,S,S,CTZ
11658_3#92,S,S,CTZ
11658_3#93,S,S,CTZ
11658_3#94,R,R,CTZ
11658_3#95,S,S,CTZ
11658_3#96,S,S,CTZ
11658_3#9,S,S,CTZ
11658_4#10,S,S,CTZ
11658_4#11,S,S,CTZ
11658_4#12,S,S,CTZ
11658_4#13,R,S,CTZ
11658_4#14,S,S,CTZ
11658_4#15,S,S,CTZ
11658_4#16,S,S,CTZ
11658_4#17,S,S,CTZ
11658_4#18,R,S,CTZ
11658_4#19,S,S,CTZ
11658_4#1,S,S,CTZ
11658_4#20,S,S,CTZ
11658_4#21,S,S,CTZ
11658_4#22,S,S,CTZ
11658_4#23,S,S,CTZ
11658_4#24,S,S,CTZ
11658_4#25,S,S,CTZ
11658_4#26,S,S,CTZ
11658_4#27,S,S,CTZ
11658_4#28,S,S,CTZ
11658_4#29,S,S,CTZ
11658_4#2,S,S,CTZ
11658_4#30,S,S,CTZ
11658_4#31,S,S,CTZ
11658_4#32,S,S,CTZ
11658_4#33,S,S,CTZ
11658_4#34,S,S,CTZ
11658_4#35,S,S,CTZ
11658_4#36,S,S,CTZ
11658_4#37,S,S,CTZ
11658_4#38,S,S,CTZ
11658_4#39,S,S,CTZ
11658_4#3,S,S,CTZ
11658_4#40,S,S,CTZ
11658_4#41,S,S,CTZ
11658_4#42,S,S,CTZ
11658_4#43,S,S,CTZ
11658_4#44,S,S,CTZ
11658_4#45,S,S,CTZ
11658_4#46,S,S,CTZ
11658_4#47,S,S,CTZ
11658_4#48,R,R,CTZ
11658_4#49,S,S,CTZ
11658_4#4,S,S,CTZ
11658_4#50,S,S,CTZ
11658_4#51,S,S,CTZ
11658_4#52,S,S,CTZ
11658_4#53,S,S,CTZ
11658_4#54,S,S,CTZ
11658_4#55,S,S,CTZ
11658_4#56,S,S,CTZ
11658_4#57,S,S,CTZ
11658_4#58,S,S,CTZ
11658_4#59,S,R,CTZ
11658_4#5,S,S,CTZ
11658_4#60,S,S,CTZ
11658_4#61,R,R,CTZ
11658_4#62,S,S,CTZ
11658_4#63,S,R,CTZ
11658_4#64,S,S,CTZ
11658_4#65,R,R,CTZ
11658_4#66,R,R,CTZ
11658_4#67,S,S,CTZ
11658_4#68,S,S,CTZ
11658_4#69,S,S,CTZ
11658_4#6,S,S,CTZ
11658_4#70,S,S,CTZ
11658_4#71,S,S,CTZ
11658_4#72,S,S,CTZ
11658_4#73,S,S,CTZ
11658_4#74,R,R,CTZ
11658_4#75,S,S,CTZ
11658_4#76,S,S,CTZ
11658_4#77,S,S,CTZ
11658_4#78,S,S,CTZ
11658_4#79,S,S,CTZ
11658_4#7,S,S,CTZ
11658_4#80,R,R,CTZ
11658_4#81,R,R,CTZ
11658_4#82,S,S,CTZ
11658_4#83,S,S,CTZ
11658_4#84,S,S,CTZ
11658_4#85,S,S,CTZ
11658_4#86,S,S,CTZ
11658_4#87,S,S,CTZ
11658_4#88,S,S,CTZ
11658_4#89,S,S,CTZ
11658_4#8,S,S,CTZ
11658_4#90,S,S,CTZ
11658_4#91,S,S,CTZ
11658_4#92,S,S,CTZ
11658_4#93,S,S,CTZ
11658_4#94,S,S,CTZ
11658_4#95,S,S,CTZ
11658_4#96,S,S,CTZ
11658_4#9,S,S,CTZ
11658_5#10,S,S,CTZ
11658_5#11,S,S,CTZ
11658_5#12,S,S,CTZ
11658_5#13,S,S,CTZ
11658_5#14,S,S,CTZ
11658_5#15,S,S,CTZ
11658_5#16,S,S,CTZ
11658_5#17,S,S,CTZ
11658_5#18,S,S,CTZ
11658_5#19,S,S,CTZ
11658_5#1,S,S,CTZ
11658_5#20,S,S,CTZ
11658_5#21,S,S,CTZ
11658_5#22,S,S,CTZ
11658_5#23,S,S,CTZ
11658_5#25,S,S,CTZ
11658_5#26,R,R,CTZ
11658_5#27,S,S,CTZ
11658_5#28,R,R,CTZ
11658_5#29,S,S,CTZ
11658_5#2,R,R,CTZ
11658_5#30,S,S,CTZ
11658_5#31,S,S,CTZ
11658_5#32,S,S,CTZ
11658_5#33,S,S,CTZ
11658_5#34,S,S,CTZ
11658_5#35,S,S,CTZ
11658_5#36,S,S,CTZ
11658_5#37,S,S,CTZ
11658_5#38,R,R,CTZ
11658_5#3,S,S,CTZ
11658_5#40,S,S,CTZ
11658_5#41,S,S,CTZ
11658_5#42,S,S,CTZ
11658_5#43,S,S,CTZ
11658_5#44,R,R,CTZ
11658_5#45,S,S,CTZ
11658_5#46,S,S,CTZ
11658_5#47,S,S,CTZ
11658_5#49,S,S,CTZ
11658_5#4,S,S,CTZ
11658_5#50,S,S,CTZ
11658_5#51,S,S,CTZ
11658_5#52,S,S,CTZ
11658_5#53,S,S,CTZ
11658_5#54,S,S,CTZ
11658_5#55,S,S,CTZ
11658_5#56,S,S,CTZ
11658_5#57,S,S,CTZ
11658_5#58,S,S,CTZ
11658_5#59,S,S,CTZ
11658_5#5,S,S,CTZ
11658_5#60,S,S,CTZ
11658_5#61,S,S,CTZ
11658_5#62,S,S,CTZ
11658_5#63,S,S,CTZ
11658_5#64,S,S,CTZ
11658_5#65,S,S,CTZ
11658_5#66,S,S,CTZ
11658_5#67,S,S,CTZ
11658_5#68,S,S,CTZ
11658_5#69,S,S,CTZ
11658_5#6,S,S,CTZ
11658_5#70,S,S,CTZ
11658_5#71,S,S,CTZ
11658_5#72,S,S,CTZ
11658_5#73,S,S,CTZ
11658_5#74,S,S,CTZ
11658_5#75,S,S,CTZ
11658_5#76,S,S,CTZ
11658_5#77,S,S,CTZ
11658_5#78,S,S,CTZ
11658_5#79,S,S,CTZ
11658_5#7,S,S,CTZ
11658_5#80,S,S,CTZ
11658_5#81,R,R,CTZ
11658_5#82,S,S,CTZ
11658_5#83,S,S,CTZ
11658_5#84,S,S,CTZ
11658_5#85,S,S,CTZ
11658_5#86,S,S,CTZ
11658_5#87,R,R,CTZ
11658_5#88,S,S,CTZ
11658_5#89,S,S,CTZ
11658_5#8,S,S,CTZ
11658_5#90,S,S,CTZ
11658_5#91,S,S,CTZ
11658_5#92,S,S,CTZ
11658_5#93,S,S,CTZ
11658_5#94,S,S,CTZ
11658_5#95,S,S,CTZ
11658_5#96,S,S,CTZ
11658_5#9,S,S,CTZ
11658_6#10,R,R,CTZ
11658_6#11,S,S,CTZ
11658_6#12,S,S,CTZ
11658_6#13,S,S,CTZ
11658_6#14,S,S,CTZ
11658_6#15,S,S,CTZ
11658_6#16,R,R,CTZ
11658_6#17,S,S,CTZ
11658_6#18,S,S,CTZ
11658_6#19,S,S,CTZ
11658_6#1,S,S,CTZ
11658_6#20,S,S,CTZ
11658_6#21,S,S,CTZ
11658_6#22,R,R,CTZ
11658_6#23,S,S,CTZ
11658_6#24,S,S,CTZ
11658_6#25,S,S,CTZ
11658_6#26,S,S,CTZ
11658_6#27,S,S,CTZ
11658_6#28,S,S,CTZ
11658_6#29,S,S,CTZ
11658_6#2,S,S,CTZ
11658_6#30,S,S,CTZ
11658_6#31,S,S,CTZ
11658_6#32,S,S,CTZ
11658_6#33,S,S,CTZ
11658_6#34,S,S,CTZ
11658_6#35,S,S,CTZ
11658_6#36,S,S,CTZ
11658_6#37,S,S,CTZ
11658_6#38,S,S,CTZ
11658_6#39,S,S,CTZ
11658_6#3,S,S,CTZ
11658_6#40,S,S,CTZ
11658_6#41,S,R,CTZ
11658_6#42,S,S,CTZ
11658_6#44,S,S,CTZ
11658_6#45,S,S,CTZ
11658_6#47,S,S,CTZ
11658_6#48,S,S,CTZ
11658_6#49,R,R,CTZ
11658_6#4,S,S,CTZ
11658_6#50,S,S,CTZ
11658_6#51,S,S,CTZ
11658_6#52,S,S,CTZ
11658_6#53,S,S,CTZ
11658_6#54,S,S,CTZ
11658_6#55,S,S,CTZ
11658_6#56,S,S,CTZ
11658_6#57,S,S,CTZ
11658_6#58,S,S,CTZ
11658_6#59,S,S,CTZ
11658_6#5,S,S,CTZ
11658_6#60,S,S,CTZ
11658_6#61,S,S,CTZ
11658_6#62,S,S,CTZ
11658_6#63,S,S,CTZ
11658_6#64,S,S,CTZ
11658_6#65,S,S,CTZ
11658_6#66,S,S,CTZ
11658_6#67,S,S,CTZ
11658_6#68,S,S,CTZ
11658_6#69,S,S,CTZ
11658_6#6,S,S,CTZ
11658_6#70,S,S,CTZ
11658_6#71,S,S,CTZ
11658_6#72,S,S,CTZ
11658_6#73,S,S,CTZ
11658_6#74,S,S,CTZ
11658_6#75,S,S,CTZ
11658_6#76,S,S,CTZ
11658_6#77,S,S,CTZ
11658_6#78,S,S,CTZ
11658_6#79,S,S,CTZ
11658_6#7,S,S,CTZ
11658_6#80,S,S,CTZ
11658_6#81,S,S,CTZ
11658_6#82,S,S,CTZ
11658_6#83,S,S,CTZ
11658_6#84,S,S,CTZ
11658_6#85,S,S,CTZ
11658_6#86,S,S,CTZ
11658_6#87,S,S,CTZ
11658_6#88,R,R,CTZ
11658_6#89,S,S,CTZ
11658_6#8,S,S,CTZ
11658_6#90,S,S,CTZ
11658_6#91,R,R,CTZ
11658_6#92,S,S,CTZ
11658_6#93,S,S,CTZ
11658_6#94,S,S,CTZ
11658_6#95,S,S,CTZ
11658_6#96,R,R,CTZ
11658_6#9,S,S,CTZ
11658_7#10,S,S,CTZ
11658_7#11,S,S,CTZ
11658_7#13,S,S,CTZ
11658_7#14,S,S,CTZ
11658_7#15,S,S,CTZ
11658_7#16,R,R,CTZ
11658_7#17,S,S,CTZ
11658_7#18,S,S,CTZ
11658_7#19,S,S,CTZ
11658_7#1,S,S,CTZ
11658_7#20,S,S,CTZ
11658_7#21,S,S,CTZ
11658_7#22,S,S,CTZ
11658_7#23,S,S,CTZ
11658_7#24,S,S,CTZ
11658_7#25,S,S,CTZ
11658_7#26,S,S,CTZ
11658_7#27,S,S,CTZ
11658_7#28,S,S,CTZ
11658_7#29,S,S,CTZ
11658_7#2,S,S,CTZ
11658_7#30,R,R,CTZ
11658_7#31,S,S,CTZ
11658_7#32,S,S,CTZ
11658_7#33,S,S,CTZ
11658_7#34,S,S,CTZ
11658_7#35,R,R,CTZ
11658_7#36,S,S,CTZ
11658_7#39,S,S,CTZ
11658_7#3,S,S,CTZ
11658_7#40,S,S,CTZ
11658_7#41,S,S,CTZ
11658_7#42,S,S,CTZ
11658_7#43,S,S,CTZ
11658_7#44,S,S,CTZ
11658_7#45,S,S,CTZ
11658_7#46,S,S,CTZ
11658_7#47,S,S,CTZ
11658_7#48,S,S,CTZ
11658_7#49,S,S,CTZ
11658_7#4,S,S,CTZ
11658_7#50,S,S,CTZ
11658_7#51,S,S,CTZ
11658_7#52,S,S,CTZ
11658_7#53,R,R,CTZ
11658_7#54,S,S,CTZ
11658_7#55,S,S,CTZ
11658_7#56,S,S,CTZ
11658_7#57,S,S,CTZ
11658_7#58,S,S,CTZ
11658_7#59,R,R,CTZ
11658_7#5,S,S,CTZ
11658_7#60,S,S,CTZ
11658_7#62,S,S,CTZ
11658_7#63,S,S,CTZ
11658_7#64,R,S,CTZ
11658_7#65,R,R,CTZ
11658_7#66,R,R,CTZ
11658_7#67,S,S,CTZ
11658_7#68,S,S,CTZ
11658_7#69,S,S,CTZ
11658_7#6,S,S,CTZ
11658_7#70,S,S,CTZ
11658_7#71,S,S,CTZ
11658_7#72,S,S,CTZ
11658_7#73,S,S,CTZ
11658_7#74,S,S,CTZ
11658_7#75,S,S,CTZ
11658_7#76,R,R,CTZ
11658_7#77,S,S,CTZ
11658_7#78,R,R,CTZ
11658_7#79,S,S,CTZ
11658_7#7,R,R,CTZ
11658_7#80,S,S,CTZ
11658_7#81,S,S,CTZ
11658_7#82,S,S,CTZ
11658_7#83,S,S,CTZ
11658_7#84,S,S,CTZ
11658_7#85,R,R,CTZ
11658_7#86,R,R,CTZ
11658_7#87,S,S,CTZ
11658_7#88,S,S,CTZ
11658_7#89,S,S,CTZ
11658_7#8,S,S,CTZ
11658_7#90,S,S,CTZ
11658_7#91,S,S,CTZ
11658_7#92,S,S,CTZ
11658_7#93,R,R,CTZ
11658_7#94,S,S,CTZ
11658_7#95,S,S,CTZ
11658_7#96,S,S,CTZ
11658_7#9,S,S,CTZ
11658_8#24,S,S,CTZ
11658_8#25,S,S,CTZ
11658_8#26,S,S,CTZ
11658_8#27,S,S,CTZ
11658_8#28,S,S,CTZ
11658_8#29,S,S,CTZ
11658_8#30,R,R,CTZ
11658_8#31,S,S,CTZ
11658_8#32,S,S,CTZ
11658_8#33,R,R,CTZ
11658_8#34,S,S,CTZ
11658_8#35,S,S,CTZ
11658_8#36,S,S,CTZ
11658_8#37,S,S,CTZ
11658_8#38,S,S,CTZ
11658_8#39,S,S,CTZ
11658_8#40,S,S,CTZ
11658_8#41,S,S,CTZ
11658_8#42,S,S,CTZ
11658_8#43,S,S,CTZ
11658_8#44,S,S,CTZ
11658_8#45,S,S,CTZ
11658_8#46,S,S,CTZ
11658_8#47,S,S,CTZ
11658_8#48,S,S,CTZ
11658_8#49,S,S,CTZ
11658_8#50,S,S,CTZ
11658_8#51,S,S,CTZ
11658_8#52,S,S,CTZ
11658_8#53,S,S,CTZ
11658_8#54,S,S,CTZ
11658_8#55,R,R,CTZ
11658_8#56,S,S,CTZ
11658_8#57,S,S,CTZ
11658_8#58,S,S,CTZ
11658_8#59,S,S,CTZ
11658_8#60,S,S,CTZ
11658_8#61,S,S,CTZ
11658_8#62,S,S,CTZ
11658_8#63,S,S,CTZ
11658_8#64,S,S,CTZ
11658_8#65,S,S,CTZ
11658_8#66,S,S,CTZ
11658_8#67,S,S,CTZ
11658_8#68,S,S,CTZ
11658_8#69,S,S,CTZ
11658_8#70,S,S,CTZ
11658_8#71,S,S,CTZ
11658_8#72,S,S,CTZ
11658_8#73,S,S,CTZ
11658_8#74,S,S,CTZ
11658_8#75,S,S,CTZ
11658_8#76,S,S,CTZ
11658_8#77,S,S,CTZ
11658_8#78,S,S,CTZ
11658_8#79,S,S,CTZ
11658_8#80,S,S,CTZ
11658_8#81,S,S,CTZ
11658_8#82,S,S,CTZ
11658_8#83,S,S,CTZ
11658_8#84,S,S,CTZ
11658_8#85,S,S,CTZ
11658_8#86,S,S,CTZ
11658_8#87,S,S,CTZ
11658_8#88,S,S,CTZ
11658_8#89,S,S,CTZ
11658_8#90,S,S,CTZ
11658_8#91,S,S,CTZ
11658_8#92,S,S,CTZ
11658_8#93,R,R,CTZ
11658_8#94,S,S,CTZ
11658_8#95,S,S,CTZ
11658_8#96,S,S,CTZ
11679_4#10,S,S,CTZ
11679_4#11,S,S,CTZ
11679_4#12,S,S,CTZ
11679_4#13,S,S,CTZ
11679_4#14,S,S,CTZ
11679_4#15,S,S,CTZ
11679_4#16,S,S,CTZ
11679_4#17,S,S,CTZ
11679_4#18,S,S,CTZ
11679_4#19,S,S,CTZ
11679_4#1,R,R,CTZ
11679_4#20,S,S,CTZ
11679_4#21,S,S,CTZ
11679_4#22,S,S,CTZ
11679_4#23,S,S,CTZ
11679_4#24,S,S,CTZ
11679_4#25,S,S,CTZ
11679_4#26,S,S,CTZ
11679_4#27,S,S,CTZ
11679_4#28,S,S,CTZ
11679_4#29,S,S,CTZ
11679_4#2,S,S,CTZ
11679_4#30,S,S,CTZ
11679_4#31,R,R,CTZ
11679_4#32,S,S,CTZ
11679_4#33,S,S,CTZ
11679_4#34,S,S,CTZ
11679_4#35,S,S,CTZ
11679_4#36,S,S,CTZ
11679_4#37,S,S,CTZ
11679_4#38,S,R,CTZ
11679_4#39,S,S,CTZ
11679_4#3,S,S,CTZ
11679_4#40,S,S,CTZ
11679_4#41,S,S,CTZ
11679_4#42,S,S,CTZ
11679_4#43,S,S,CTZ
11679_4#44,S,S,CTZ
11679_4#45,S,S,CTZ
11679_4#46,S,S,CTZ
11679_4#47,S,S,CTZ
11679_4#48,S,S,CTZ
11679_4#49,S,S,CTZ
11679_4#4,S,S,CTZ
11679_4#50,S,S,CTZ
11679_4#52,R,R,CTZ
11679_4#53,S,S,CTZ
